AP-001	PCA9685用スタンドオフ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通
AP-014	microSD読取手段	EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認
AP-015	AWG30の被覆処理手段	EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / H-02 [組立] カメラ目 — 子基板→camera_carrier→base→shell 接着, XIAO ファーム + WiFi 静止画疎通 / H-03 [組立] 音声ユニット組込 — INMP441→cradle_mic 圧入 / φ20 SPK / cradle_spk / 8 芯を Neck・Ball ボアへ / H-04 [電装] 裸配線のI2S音声をmock・PTT・低音量再生でベンチ確認する
AP-016	本体USBデータケーブル	EL-03 [ファーム] CALIBRATION_MODE ビルド + ESP32 書き込み + AP 接続確認 / EL-07 [ファーム] 通常版を無負荷ベンチで確認し、初期脱力・出力方向を検証する
AP-017	XIAO用USB-Cデータケーブル	P-07 [測定] カメラモジュール確認 (XIAO ESP32S3 Sense: センサー型番・子基板寸法・FOV) → CAM2_* 更新 → check_camera / H-02 [組立] カメラ目 — 子基板→camera_carrier→base→shell 接着, XIAO ファーム + WiFi 静止画疎通
AP-020	脚サーボ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / P-03 [測定] サーボ・ホーン実測 (STD ×14 / MG90S ×6 / ES9251II ×3) → 実測表 / EL-04 [電装] 実サーボを1個ずつ校正し、20駆動軸と予備を識別する / L-01 [組立] 脚 FL (標準版) を組む — 片脚ゲート用の 1 本目 / L-02 [ゲート] 片脚ベンチ試験 — 1.2kg×レバー155mm (=18.6kgf·cm) 保持 (6V) / スイープ / 保持電流 / L-11 [要判断] 股ピッチの実力を測り、低トルク歩容・軽量化・6V対応品を比較する
AP-021	腕サーボMG90S	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / P-03 [測定] サーボ・ホーン実測 (STD ×14 / MG90S ×6 / ES9251II ×3) → 実測表 / EL-04 [電装] 実サーボを1個ずつ校正し、20駆動軸と予備を識別する / A-01 [組立] 右腕チェーンをベンチで組む (肩ブラケット→上腕→前腕→固定爪) / A-02 [組立] 左腕チェーンをベンチで組む (_L パーツ) / A-03 [組立] 肩ヨーサーボ ×2 をシャーシへ + 両腕を吊り下げ + 配線 + ベンチ確認 (TUCK/READY/REACH/WAVE)
AP-022	目用サブマイクロサーボ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / P-03 [測定] サーボ・ホーン実測 (STD ×14 / MG90S ×6 / ES9251II ×3) → 実測表 / EL-04 [電装] 実サーボを1個ずつ校正し、20駆動軸と予備を識別する / H-01 [組立] 目ポッド ×2 (キョロキョロ) — ドット黒仕上げ / ES9251II / ホーン先付け / 中立位相
AP-023	CH_HEAD用予備サーボ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / H-07 [要判断] CH_HEAD/ch12を予備・未接続として実物確認する
AP-024	脚付属ホーン/中心ねじ	P-03 [測定] サーボ・ホーン実測 (STD ×14 / MG90S ×6 / ES9251II ×3) → 実測表 / L-01 [組立] 脚 FL (標準版) を組む — 片脚ゲート用の 1 本目 / L-07 [組立] 4 脚をシャーシへ取付 (ヨーホーン共締め, 方位 FR15/FL165/RL210/RR330)
AP-025	腕付属ホーン/中心ねじ	P-03 [測定] サーボ・ホーン実測 (STD ×14 / MG90S ×6 / ES9251II ×3) → 実測表 / A-01 [組立] 右腕チェーンをベンチで組む (肩ブラケット→上腕→前腕→固定爪) / A-02 [組立] 左腕チェーンをベンチで組む (_L パーツ) / A-03 [組立] 肩ヨーサーボ ×2 をシャーシへ + 両腕を吊り下げ + 配線 + ベンチ確認 (TUCK/READY/REACH/WAVE)
AP-026	目付属ホーン/中心ねじ	P-03 [測定] サーボ・ホーン実測 (STD ×14 / MG90S ×6 / ES9251II ×3) → 実測表 / H-01 [組立] 目ポッド ×2 (キョロキョロ) — ドット黒仕上げ / ES9251II / ホーン先付け / 中立位相
AP-027	本体ESP32開発ボード	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通 / EL-03 [ファーム] CALIBRATION_MODE ビルド + ESP32 書き込み + AP 接続確認 / EL-07 [ファーム] 通常版を無負荷ベンチで確認し、初期脱力・出力方向を検証する
AP-028	PCA9685基板	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通
AP-029	2S LiPo電池	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める
AP-030	6 Vサーボ用UBEC	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-04 [電装] 実サーボを1個ずつ校正し、20駆動軸と予備を識別する / EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める / RV-11 [電装] 部品の実型番・電源収支・停止回路・測定手順を整合させる
AP-031	5 Vロジック用DC-DC	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める / RV-11 [電装] 部品の実型番・電源収支・停止回路・測定手順を整合させる
AP-032	LED信号レベル変換IC	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / S-07 [電装] LED ×12 / DFPlayer / 74AHCT125 を本体へ組込 (直列順 0→11, 目 LED は carrier 裏)
AP-033	WS2812B	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / S-07 [電装] LED ×12 / DFPlayer / 74AHCT125 を本体へ組込 (直列順 0→11, 目 LED は carrier 裏)
AP-034	DFPlayer Mini	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / S-07 [電装] LED ×12 / DFPlayer / 74AHCT125 を本体へ組込 (直列順 0→11, 目 LED は carrier 裏)
AP-035	DFPlayer用ボディスピーカー	EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / H-06 [CAD] Cabin内部の電装室・基板保持・挿入経路・配線を成立させる / S-07 [電装] LED ×12 / DFPlayer / 74AHCT125 を本体へ組込 (直列順 0→11, 目 LED は carrier 裏)
AP-036	メインスイッチ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める / RV-11 [電装] 部品の実型番・電源収支・停止回路・測定手順を整合させる
AP-037	ヒューズホルダー	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める / RV-11 [電装] 部品の実型番・電源収支・停止回路・測定手順を整合させる
AP-038	ヒューズ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める / RV-11 [電装] 部品の実型番・電源収支・停止回路・測定手順を整合させる
AP-039	サーボ電源電解コンデンサ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧)
AP-040	5 V電源電解コンデンサ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧)
AP-041	XT60コネクタ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める
AP-042	AWG16線	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / L-08 [配線] 脚 12ch 本体配線 (経路・束ね・バス直結・PCA ch 割当)
AP-043	AWG20線	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / L-08 [配線] 脚 12ch 本体配線 (経路・束ね・バス直結・PCA ch 割当)
AP-044	AWG26線	EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通 / EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認
AP-045	AWG30線	EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / H-02 [組立] カメラ目 — 子基板→camera_carrier→base→shell 接着, XIAO ファーム + WiFi 静止画疎通 / H-03 [組立] 音声ユニット組込 — INMP441→cradle_mic 圧入 / φ20 SPK / cradle_spk / 8 芯を Neck・Ball ボアへ / H-04 [電装] 裸配線のI2S音声をmock・PTT・低音量再生でベンチ確認する
AP-046	サーボ電源外部分配部材	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / L-08 [配線] 脚 12ch 本体配線 (経路・束ね・バス直結・PCA ch 割当)
AP-047	サーボ延長/中継配線	EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / L-08 [配線] 脚 12ch 本体配線 (経路・束ね・バス直結・PCA ch 割当) / A-03 [組立] 肩ヨーサーボ ×2 をシャーシへ + 両腕を吊り下げ + 配線 + ベンチ確認 (TUCK/READY/REACH/WAVE)
AP-048	VBAT分圧抵抗	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める
AP-049	VBAT分圧抵抗	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める
AP-050	DFPlayer RX直列抵抗	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / S-07 [電装] LED ×12 / DFPlayer / 74AHCT125 を本体へ組込 (直列順 0→11, 目 LED は carrier 裏)
AP-051	WS2812 DIN直列抵抗	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / S-07 [電装] LED ×12 / DFPlayer / 74AHCT125 を本体へ組込 (直列順 0→11, 目 LED は carrier 裏)
AP-052	74AHCT125用バイパスコンデンサ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / S-07 [電装] LED ×12 / DFPlayer / 74AHCT125 を本体へ組込 (直列順 0→11, 目 LED は carrier 裏)
AP-053	基板実装/ヘッダー/絶縁基材	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通 / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / S-07 [電装] LED ×12 / DFPlayer / 74AHCT125 を本体へ組込 (直列順 0→11, 目 LED は carrier 裏)
AP-054	INMP441マイク	P-06 [測定] 音声ユニット部品の実測 (INMP441 基板 / φ20 SPK 厚) → AUDIO_* 更新 → check_audio / H-03 [組立] 音声ユニット組込 — INMP441→cradle_mic 圧入 / φ20 SPK / cradle_spk / 8 芯を Neck・Ball ボアへ / H-04 [電装] 裸配線のI2S音声をmock・PTT・低音量再生でベンチ確認する
AP-055	MAX98357Aアンプ	P-06 [測定] 音声ユニット部品の実測 (INMP441 基板 / φ20 SPK 厚) → AUDIO_* 更新 → check_audio / H-04 [電装] 裸配線のI2S音声をmock・PTT・低音量再生でベンチ確認する / S-04 [組立] Mouth 一式を頭部ソケットへ取付 (Ball スナップ, -18° 下向きポーズ, 配線 φ7 穴→MAX98357A)
AP-056	口内薄型スピーカー	P-06 [測定] 音声ユニット部品の実測 (INMP441 基板 / φ20 SPK 厚) → AUDIO_* 更新 → check_audio / H-03 [組立] 音声ユニット組込 — INMP441→cradle_mic 圧入 / φ20 SPK / cradle_spk / 8 芯を Neck・Ball ボアへ / H-04 [電装] 裸配線のI2S音声をmock・PTT・低音量再生でベンチ確認する
AP-057	音声2ピンコネクタ	H-03 [組立] 音声ユニット組込 — INMP441→cradle_mic 圧入 / φ20 SPK / cradle_spk / 8 芯を Neck・Ball ボアへ / H-04 [電装] 裸配線のI2S音声をmock・PTT・低音量再生でベンチ確認する / S-04 [組立] Mouth 一式を頭部ソケットへ取付 (Ball スナップ, -18° 下向きポーズ, 配線 φ7 穴→MAX98357A)
AP-058	音声6ピンコネクタ	H-03 [組立] 音声ユニット組込 — INMP441→cradle_mic 圧入 / φ20 SPK / cradle_spk / 8 芯を Neck・Ball ボアへ / H-04 [電装] 裸配線のI2S音声をmock・PTT・低音量再生でベンチ確認する / S-04 [組立] Mouth 一式を頭部ソケットへ取付 (Ball スナップ, -18° 下向きポーズ, 配線 φ7 穴→MAX98357A)
AP-059	XIAO ESP32S3 Sense	P-07 [測定] カメラモジュール確認 (XIAO ESP32S3 Sense: センサー型番・子基板寸法・FOV) → CAM2_* 更新 → check_camera / H-02 [組立] カメラ目 — 子基板→camera_carrier→base→shell 接着, XIAO ファーム + WiFi 静止画疎通 / I-04 [ファーム] カメラ連携 (voice_bridge --camera-url で「見て」に答える)
AP-060	カメラFPC延長	P-07 [測定] カメラモジュール確認 (XIAO ESP32S3 Sense: センサー型番・子基板寸法・FOV) → CAM2_* 更新 → check_camera / H-02 [組立] カメラ目 — 子基板→camera_carrier→base→shell 接着, XIAO ファーム + WiFi 静止画疎通
AP-061	LiPoバランス充電器	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧)
AP-062	充電器の入力電源/変換線	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧)
AP-063	USB時の外部5 V切離し	EL-03 [ファーム] CALIBRATION_MODE ビルド + ESP32 書き込み + AP 接続確認 / EL-07 [ファーム] 通常版を無負荷ベンチで確認し、初期脱力・出力方向を検証する / H-02 [組立] カメラ目 — 子基板→camera_carrier→base→shell 接着, XIAO ファーム + WiFi 静止画疎通
AP-064	XIAOアンテナ	P-07 [測定] カメラモジュール確認 (XIAO ESP32S3 Sense: センサー型番・子基板寸法・FOV) → CAM2_* 更新 → check_camera / H-02 [組立] カメラ目 — 子基板→camera_carrier→base→shell 接着, XIAO ファーム + WiFi 静止画疎通
AP-070	M3×10タッピング	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / L-01 [組立] 脚 FL (標準版) を組む — 片脚ゲート用の 1 本目 / L-06 [組立] 頭無し試験用シャーシ・ヨーサーボ・仮電装を組む / S-01 [組立] pod_neck 取付 + TailJoint (青コーン+Ball リング) 化粧スリーブ接着 / RV-15 [機構不具合] 首・Cabin・装飾を全長で組み合わせ、支持と挿入を成立させる
AP-071	首先端のなべ小ねじ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / RV-15 [機構不具合] 首・Cabin・装飾を全長で組み合わせ、支持と挿入を成立させる / S-01 [組立] pod_neck 取付 + TailJoint (青コーン+Ball リング) 化粧スリーブ接着 / S-06 [組立] 採用した首とCabinの支持・締結・通線を実物で確認する / H-06 [CAD] Cabin内部の電装室・基板保持・挿入経路・配線を成立させる
AP-072	脚ホーン中心用交換ねじ	P-03 [測定] サーボ・ホーン実測 (STD ×14 / MG90S ×6 / ES9251II ×3) → 実測表 / L-01 [組立] 脚 FL (標準版) を組む — 片脚ゲート用の 1 本目 / L-07 [組立] 4 脚をシャーシへ取付 (ヨーホーン共締め, 方位 FR15/FL165/RL210/RR330)
AP-073	M2×8タッピング	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / A-01 [組立] 右腕チェーンをベンチで組む (肩ブラケット→上腕→前腕→固定爪) / A-02 [組立] 左腕チェーンをベンチで組む (_L パーツ) / A-03 [組立] 肩ヨーサーボ ×2 をシャーシへ + 両腕を吊り下げ + 配線 + ベンチ確認 (TUCK/READY/REACH/WAVE)
AP-074	旧M2.5×10	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通
AP-075	M2.6×8タッピング	P-03 [測定] サーボ・ホーン実測 (STD ×14 / MG90S ×6 / ES9251II ×3) → 実測表 / L-01 [組立] 脚 FL (標準版) を組む — 片脚ゲート用の 1 本目 / L-07 [組立] 4 脚をシャーシへ取付 (ヨーホーン共締め, 方位 FR15/FL165/RL210/RR330) / A-01 [組立] 右腕チェーンをベンチで組む (肩ブラケット→上腕→前腕→固定爪) / A-02 [組立] 左腕チェーンをベンチで組む (_L パーツ) / A-03 [組立] 肩ヨーサーボ ×2 をシャーシへ + 両腕を吊り下げ + 配線 + ベンチ確認 (TUCK/READY/REACH/WAVE)
AP-076	M3×40なべ小ねじ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / S-02a [仕上げ] 脚 FL の装飾 — thigh_cap / Thigh_Guard / shin_shell (標準) / Shin_Guard / Leg_Toe ×3 / S-02b [仕上げ] 脚 FR の装飾 — thigh_cap / Thigh_Guard / shin_shell_m (ミラー) / Shin_Guard / Leg_Toe ×3 / S-02c [仕上げ] 脚 RL の装飾 — thigh_cap / Thigh_Guard / shin_shell_m (ミラー) / Shin_Guard / Leg_Toe ×3 / S-02d [仕上げ] 脚 RR の装飾 — thigh_cap / Thigh_Guard / shin_shell (標準) / Shin_Guard / Leg_Toe ×3 / RV-16 [機構不具合] 大腿・脛ガードの受け座と実際に入る組立経路を作る
AP-077	首先端M3ナット	RV-15 [機構不具合] 首・Cabin・装飾を全長で組み合わせ、支持と挿入を成立させる / S-01 [組立] pod_neck 取付 + TailJoint (青コーン+Ball リング) 化粧スリーブ接着 / S-06 [組立] 採用した首とCabinの支持・締結・通線を実物で確認する / H-06 [CAD] Cabin内部の電装室・基板保持・挿入経路・配線を成立させる
